,district,visitor_type,time_slot,day_type,year,month,week,female,male,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70+,inc_alto,inc_bajo,inc_medio,inc_medio-alto,total_visitors
0,3500101,Excursionista,T1,Fin Semana,2019.0,6.0,26.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0
1,3500101,Excursionista,T1,Fin Semana,2019.0,7.0,27.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
2,3500101,Excursionista,T1,Fin Semana,2019.0,8.0,35.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
3,3500101,Excursionista,T1,Fin Semana,2019.0,12.0,1.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
4,3500101,Excursionista,T1,Laborable,2019.0,1.0,2.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0
5,3500101,Excursionista,T1,Laborable,2019.0,1.0,5.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
6,3500101,Excursionista,T1,Laborable,2019.0,5.0,21.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0
7,3500101,Excursionista,T1,Laborable,2019.0,6.0,24.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
8,3500101,Excursionista,T1,Laborable,2019.0,6.0,26.0,36.0,0.0,21.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,36.0
9,3500101,Excursionista,T1,Laborable,2019.0,7.0,28.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0
10,3500101,Excursionista,T1,Laborable,2019.0,7.0,29.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0
11,3500101,Excursionista,T1,Laborable,2019.0,7.0,30.0,57.0,18.0,0.0,32.0,0.0,43.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0
12,3500101,Excursionista,T1,Laborable,2019.0,7.0,31.0,19.0,15.0,0.0,34.0,0.0,0.0,0.0,0.0,19.0,0.0,15.0,0.0,34.0
13,3500101,Excursionista,T1,Laborable,2019.0,8.0,32.0,44.0,79.0,66.0,0.0,16.0,16.0,0.0,25.0,25.0,0.0,56.0,42.0,123.0
14,3500101,Excursionista,T1,Laborable,2019.0,8.0,33.0,38.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,17.0,0.0,38.0
15,3500101,Excursionista,T1,Laborable,2019.0,8.0,34.0,51.0,0.0,36.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,51.0,0.0,51.0
16,3500101,Excursionista,T1,Laborable,2019.0,8.0,35.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0
17,3500101,Excursionista,T1,Laborable,2019.0,9.0,37.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0
18,3500101,Excursionista,T1,Laborable,2019.0,9.0,38.0,0.0,157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0
19,3500101,Excursionista,T1,Laborable,2019.0,9.0,39.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0
20,3500101,Excursionista,T1,Laborable,2019.0,9.0,40.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0
21,3500101,Excursionista,T1,Laborable,2019.0,10.0,41.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0
22,3500101,Excursionista,T1,Laborable,2019.0,10.0,42.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,23.0
23,3500101,Excursionista,T1,Laborable,2019.0,12.0,49.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0
24,3500101,Excursionista,T1,Laborable,2019.0,12.0,50.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0
25,3500101,Excursionista,T2,Fin Semana,2019.0,2.0,6.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
26,3500101,Excursionista,T2,Fin Semana,2019.0,6.0,26.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0
27,3500101,Excursionista,T2,Fin Semana,2019.0,7.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,15.0
28,3500101,Excursionista,T2,Fin Semana,2019.0,8.0,34.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,22.0
29,3500101,Excursionista,T2,Fin Semana,2019.0,8.0,35.0,55.0,0.0,24.0,31.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,31.0,55.0
30,3500101,Excursionista,T2,Fin Semana,2019.0,9.0,38.0,77.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0
31,3500101,Excursionista,T2,Fin Semana,2019.0,9.0,40.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
32,3500101,Excursionista,T2,Fin Semana,2019.0,10.0,41.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
33,3500101,Excursionista,T2,Fin Semana,2019.0,12.0,1.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0
34,3500101,Excursionista,T2,Fin Semana,2019.0,12.0,51.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0
35,3500101,Excursionista,T2,Laborable,2019.0,6.0,25.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
36,3500101,Excursionista,T2,Laborable,2019.0,7.0,29.0,19.0,16.0,0.0,0.0,0.0,16.0,19.0,0.0,0.0,0.0,35.0,0.0,35.0
37,3500101,Excursionista,T2,Laborable,2019.0,7.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,16.0
38,3500101,Excursionista,T2,Laborable,2019.0,7.0,31.0,74.0,17.0,39.0,18.0,17.0,17.0,0.0,0.0,17.0,0.0,17.0,57.0,91.0
39,3500101,Excursionista,T2,Laborable,2019.0,8.0,32.0,0.0,87.0,0.0,0.0,49.0,18.0,20.0,0.0,0.0,0.0,63.0,24.0,87.0
40,3500101,Excursionista,T2,Laborable,2019.0,8.0,34.0,73.0,35.0,15.0,16.0,51.0,0.0,26.0,0.0,16.0,0.0,92.0,0.0,108.0
41,3500101,Excursionista,T2,Laborable,2019.0,9.0,36.0,19.0,20.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0
42,3500101,Excursionista,T2,Laborable,2019.0,9.0,37.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
43,3500101,Excursionista,T2,Laborable,2019.0,9.0,38.0,117.0,0.0,36.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,100.0,17.0,117.0
44,3500101,Excursionista,T2,Laborable,2019.0,9.0,40.0,35.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,35.0
45,3500101,Excursionista,T2,Laborable,2019.0,10.0,42.0,34.0,104.0,86.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,120.0,138.0
46,3500101,Excursionista,T2,Laborable,2019.0,11.0,46.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0
47,3500101,Excursionista,T2,Laborable,2019.0,11.0,47.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,0.0,60.0
48,3500101,Excursionista,T2,Laborable,2019.0,12.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,21.0
